"case_id","label","category","secret_type_truth","secret_type_predicted","score","priority_score","confidence","source","latency_ms","file_path"
"CAL00952","0","documentation-random-looking","api_key","non_secret","0.1","0.3","0.65","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-001\walkthrough.env"
"CAL00953","0","test-fixture","token","token","0.14","0.87","0.57","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-002\fixture.yaml"
"CAL00954","0","hard-negative-production-path","password","password","0.43","2.23","0.65","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-003\legacy.ini"
"CAL00955","0","placeholder","password","non_secret","0.05","0.01","0.97","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-004\example.conf"
"CAL00956","0","documentation-random-looking","api_key","non_secret","0.11","0.26","0.69","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-005\walkthrough.env"
"CAL00957","0","test-fixture","token","token","0.14","0.84","0.6","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-006\fixture.yaml"
"CAL00958","0","hard-negative-production-path","password","password","0.42","2.38","0.64","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-007\legacy.ini"
"CAL00959","0","placeholder","password","non_secret","0.05","0.01","0.975","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-008\example.conf"
"CAL00960","0","documentation-random-looking","api_key","non_secret","0.1","0.32","0.675","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-009\walkthrough.env"
"CAL00961","0","test-fixture","token","token","0.15","0.97","0.555","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-010\fixture.yaml"
"CAL00962","0","hard-negative-production-path","password","password","0.42","2.26","0.66","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-011\legacy.ini"
"CAL00963","0","placeholder","password","non_secret","0.05","0","0.98","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-012\example.conf"
"CAL00964","0","documentation-random-looking","api_key","non_secret","0.11","0.25","0.695","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-013\walkthrough.env"
"CAL00965","0","test-fixture","token","token","0.14","0.86","0.59","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-014\fixture.yaml"
"CAL00966","0","hard-negative-production-path","password","password","0.45","2.4","0.64","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-015\legacy.ini"
"CAL00967","0","placeholder","password","non_secret","0.05","0.01","0.975","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-016\example.conf"
"CAL00968","0","documentation-random-looking","api_key","non_secret","0.1","0.23","0.715","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-017\walkthrough.env"
"CAL00969","0","test-fixture","token","token","0.15","0.8","0.615","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-018\fixture.yaml"
"CAL00970","0","hard-negative-production-path","password","password","0.41","2.23","0.655","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-019\legacy.ini"
"CAL00971","0","placeholder","password","non_secret","0.04","0.01","0.97","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-020\example.conf"
"CAL00972","0","documentation-random-looking","api_key","non_secret","0.11","0.3","0.655","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-021\walkthrough.env"
"CAL00973","0","test-fixture","token","token","0.15","0.83","0.6","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-022\fixture.yaml"
"CAL00974","0","hard-negative-production-path","password","password","0.44","2.48","0.65","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-023\legacy.ini"
"CAL00975","0","placeholder","password","non_secret","0.05","0.01","0.975","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-024\example.conf"
"CAL00976","0","documentation-random-looking","api_key","non_secret","0.11","0.24","0.68","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-025\walkthrough.env"
"CAL00977","0","test-fixture","token","token","0.14","0.94","0.56","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-026\fixture.yaml"
"CAL00978","0","hard-negative-production-path","password","password","0.44","2.36","0.655","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-027\legacy.ini"
"CAL00979","0","placeholder","password","non_secret","0.05","0.01","0.975","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-028\example.conf"
"CAL00980","0","documentation-random-looking","api_key","non_secret","0.1","0.3","0.67","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-029\walkthrough.env"
"CAL00981","0","test-fixture","token","token","0.13","0.79","0.625","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-030\fixture.yaml"
"CAL00982","0","hard-negative-production-path","password","password","0.44","2.32","0.66","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-031\legacy.ini"
"CAL00983","0","placeholder","password","non_secret","0.05","0.01","0.975","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-032\example.conf"
"CAL00984","0","documentation-random-looking","api_key","non_secret","0.11","0.26","0.705","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-033\walkthrough.env"
"CAL00985","0","test-fixture","token","token","0.15","0.82","0.585","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-034\fixture.yaml"
"CAL00986","0","hard-negative-production-path","password","password","0.45","2.38","0.63","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-035\legacy.ini"
"CAL00987","0","placeholder","password","non_secret","0.04","0.01","0.985","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-036\example.conf"
"CAL00988","0","documentation-random-looking","api_key","non_secret","0.11","0.26","0.69","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-037\walkthrough.env"
"CAL00989","0","test-fixture","token","token","0.16","0.97","0.545","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-038\fixture.yaml"
"CAL00990","0","hard-negative-production-path","password","password","0.43","2.42","0.645","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-039\legacy.ini"
"CAL00991","0","placeholder","password","non_secret","0.05","0.02","0.975","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-040\example.conf"
"CAL00992","0","documentation-random-looking","api_key","non_secret","0.11","0.3","0.65","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-041\walkthrough.env"
"CAL00993","0","test-fixture","token","token","0.14","0.88","0.58","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-042\fixture.yaml"
"CAL00994","0","hard-negative-production-path","password","password","0.45","2.42","0.63","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-043\legacy.ini"
"CAL00995","0","placeholder","password","non_secret","0.05","0.01","0.975","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-044\example.conf"
"CAL00996","0","documentation-random-looking","api_key","non_secret","0.1","0.21","0.715","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-045\walkthrough.env"
"CAL00997","0","test-fixture","token","token","0.15","0.84","0.585","jev",,"\\localhost\SharpML2CalibrationLow\Engineering\Test\Fixtures\suite-046\fixture.yaml"
"CAL00998","0","hard-negative-production-path","password","password","0.43","2.2","0.635","jev",,"\\localhost\SharpML2CalibrationLow\Finance\Production\MigrationFixtures\case-047\legacy.ini"
"CAL00999","0","placeholder","password","non_secret","0.04","0","0.985","jev",,"\\localhost\SharpML2CalibrationLow\Documentation\Examples\sample-048\example.conf"
"CAL01000","0","documentation-random-looking","api_key","non_secret","0.11","0.3","0.64","jev",,"\\localhost\SharpML2CalibrationLow\Docs\Tutorials\guide-049\walkthrough.env"
